Date, Open, High, Low, Close, Volume
11/07/24, 981500, 986720, 978080, 978080, 238
11/06/24, 998460, 1003,840, 998460, 1000,380, 2873
11/05/24, 983740, 991020, 982000, 984240, 288
11/01/24, 990100, 1020,000, 981640, 1018,980, 511
10/31/24, 1100,000, 1100,000, 1100,000, 1100,000, 117
10/30/24, 1015,240, 1015,240, 1015,240, 1015,240, 131
10/29/24, 1015,240, 1015,240, 1015,240, 1015,240, 39
10/28/24, 1015,240, 1015,240, 1015,240, 1015,240, 32
10/25/24, 998420, 998420, 998420, 998420, 109
10/24/24, 990180, 992200, 990000, 992200, 640
10/23/24, 999260, 999260, 999260, 999260, 29
10/22/24, 999260, 999260, 999260, 999260, 16
10/21/24, 999260, 999260, 999260, 999260, 22
10/18/24, 990360, 990360, 990360, 990360, 28
10/17/24, 991860, 991860, 990360, 990360, 68
10/16/24, 999400, 999400, 899460, 999400, 9
10/15/24, 1002,000, 1002,000, 999400, 999400, 289
10/11/24, 965820, 965820, 933480, 965820, 6
10/10/24, 959800, 965820, 959800, 965820, 49
10/09/24, 958720, 962900, 958720, 962900, 30
10/08/24, 952680, 952680, 952680, 952680, 19
10/07/24, 944920, 944920, 944920, 944920, 37
10/04/24, 954700, 954700, 935000, 954700, 24
10/03/24, 954700, 954700, 924680, 954700, 7
10/02/24, 954700, 990000, 924680, 954700, 18
10/01/24, 954700, 954700, 954700, 954700, 41
09/30/24, 968200, 968760, 968200, 968760, 87
09/27/24, 951000, 951000, 951000, 951000, 36
09/25/24, 947480, 947480, 942960, 942960, 1334
09/24/24, 940080, 940080, 935000, 935000, 96
09/23/24, 950320, 950320, 950320, 950320, 676
09/20/24, 961760, 961760, 960960, 961200, 1403
09/19/24, 944000, 957000, 944000, 953040, 721
09/18/24, 922520, 922520, 922520, 922520, 31
09/17/24, 915560, 915560, 910900, 910900, 90
09/16/24, 902100, 915560, 902100, 915560, 122
09/13/24, 943000, 943000, 943000, 943000, 17
09/12/24, 944400, 944400, 943000, 943000, 27
09/11/24, 932560, 932560, 932560, 932560, 24
09/10/24, 932560, 947480, 932560, 932560, 19
09/09/24, 932560, 932560, 932560, 932560, 48
09/06/24, 941720, 941720, 941720, 941720, 28
09/05/24, 941720, 941720, 941720, 941720, 22
09/04/24, 941720, 941720, 941720, 941720, 15
09/03/24, 949000, 949000, 941720, 941720, 57
09/02/24, 952720, 952720, 952720, 952720, 25
08/30/24, 948980, 954300, 948980, 954300, 49
08/29/24, 958500, 959700, 958500, 959700, 74
08/28/24, 923660, 925240, 923660, 925240, 1323
08/27/24, 924540, 924540, 924540, 924540, 34
08/26/24, 906000, 906000, 906000, 906000, 49
08/23/24, 917780, 917780, 917780, 917780, 30
08/22/24, 917780, 917780, 917780, 917780, 41
08/21/24, 908440, 908440, 908440, 908440, 25
08/20/24, 908440, 908440, 908440, 908440, 12
08/16/24, 878900, 878900, 878900, 878900, 23
08/15/24, 878900, 878900, 878900, 878900, 31
08/14/24, 878900, 878900, 878900, 878900, 13
08/13/24, 878900, 878900, 878900, 878900, 16
08/12/24, 878900, 878900, 878900, 878900, 15
08/09/24, 866720, 866720, 866720, 866720, 10
08/08/24, 866720, 866720, 866720, 866720, 33
08/06/24, 851120, 866720, 836800, 866720, 233
08/05/24, 855040, 883000, 855040, 855360, 466
08/02/24, 917800, 928100, 916800, 923220, 1172
08/01/24, 892040, 892040, 892040, 892040, 57
07/31/24, 907000, 907000, 895000, 895000, 316
07/30/24, 902840, 902840, 902840, 902840, 19
07/29/24, 902840, 902840, 902840, 902840, 53
07/26/24, 880020, 880020, 880020, 880020, 7
07/25/24, 880020, 880020, 880020, 880020, 27
07/24/24, 880020, 880020, 880020, 880020, 134
07/23/24, 885040, 900000, 885040, 900000, 65
07/22/24, 906260, 906260, 906260, 906260, 29
07/19/24, 875420, 905000, 875420, 905000, 71
07/18/24, 912000, 912000, 912000, 912000, 33
07/17/24, 915000, 915000, 912000, 912000, 57
07/16/24, 920000, 920000, 910000, 910000, 65
07/15/24, 931500, 931500, 925000, 925000, 76
